N;SIFT;SURF;ORB;SP;R2D2;SIFT+LG;SP+LG;SP(retrained)
10;0.244;0.342;0.081;0.163;0.001;0.363;0.359;0.244
50;0.215;0.332;0.131;0.512;0.000;0.480;0.516;0.289
100;0.216;0.328;0.147;0.598;0.000;0.518;0.536;0.329
200;0.226;0.313;0.164;0.628;0.030;0.538;0.542;0.374
500;0.235;0.290;0.190;0.628;0.304;0.555;0.562;0.439
1000;0.239;0.267;0.222;0.628;0.508;0.555;0.574;0.491
2000;0.237;0.241;0.264;0.628;0.590;0.550;0.574;0.547
3000;0.235;0.223;0.280;0.628;0.608;0.543;0.574;0.578
5000;0.229;0.200;0.293;0.628;0.524;0.530;0.574;0.616
8000;0.221;0.178;0.298;0.628;0.465;0.514;0.574;0.651
10000;0.217;0.167;0.298;0.628;0.447;0.506;0.574;0.657
